PARAMETERS,SO2,CO,NO,NO2,NOX,NH3,O3,AQI,WS,WD,RH,SR,TC
14/09/2023,0.19,0.76,7.85,10.77,25,7.85,25.16,44,29.38,93.78,231.5,87.23,0.61
15/09/2023,2.47,0.77,7.93,10.81,25,7.93,25.49,42,29.48,91.37,246,88.47,0.55
16/09/2023,2.9,0.75,7.85,10.89,25,7.85,25.13,40,28.1,96.74,332.5,70.69,0.71
17/09/2023,2.79,0.76,7.89,10.82,25,7.89,25.34,38,28.97,92.65,354,81.86,0.54
18/09/2023,0.36,0.75,7.79,10.87,25,7.79,24.9,38,28.65,96.09,328.5,77.81,0.55
19/09/2023,0.16,0.77,7.93,10.84,25,7.93,25.51,38,29.03,91.95,229.4,82.74,0.99
20/09/2023,0.93,0.76,7.87,10.74,26,7.87,25.4,47,30.15,91.31,241.4,96.93,0.96
21/09/2023,1.86,0.76,7.87,10.86,26,7.87,25.42,48,29.84,91.04,219.3,93.17,1.14
22/09/2023,2.83,0.76,7.91,10.86,26,7.91,25.24,42,29.04,92.02,232.3,82.83,0.7
23/09/2023,1.22,0.76,7.85,10.89,25,7.86,25.11,43,30.07,88.17,230.7,96.06,0.41
24/09/2023,1.34,0.76,7.92,10.84,26,7.92,25.43,41,29.85,86.21,231.7,93.23,0.55
25/09/2023,1.92,0.76,7.89,10.82,25,7.89,25.31,45,30.29,86.69,236.1,98.94,0.26
26/09/2023,3.09,0.76,7.91,10.93,25,7.91,25.42,48,30.72,88.48,230.1,104,0.11
27/09/2023,0.53,0.76,7.87,10.89,25,7.88,25.24,47,30.54,87.8,235.9,102.1,0.07
28/09/2023,1.81,0.76,7.87,10.9,25,7.87,25.21,48,29.29,89.2,240.7,86.08,0.36
29/09/2023,1.62,0.77,7.95,10.9,25,7.95,25.58,43,27.26,102.79,320.9,59.82,0.5
30/09/2023,1.59,0.77,7.94,10.83,25,7.94,25.55,41,28.43,99.6,303.5,75.3,0.67
01/10/2023,2.01,0.75,7.5,10.11,25,7.6,25.65,38,2814,96.51,216.6,89.34,0.87
02/10/2023,2.05,0.76,7.9,10.85,25,7.9,25.35,41,29.89,91.48,236.5,93.75,0.68
03/10/2023,2.06,0.77,7.95,10.77,26,7.95,25.56,42,27.6,103.1,5.85,64.32,0.67
04/10/2023,2.05,0.76,7.91,10.87,25,7.91,25.41,39,28.65,96.29,35.57,77.86,0.55
05/10/2023,2.06,0.77,7.93,10.86,26,7.93,25.48,45,30.34,88.81,241,99.54,0.36
06/10/2023,2.04,0.75,7.83,10.92,26,7.83,25.06,49,30.68,85.78,239.8,103.9,0.18
07/10/2023,2.05,0.76,7.9,10.87,26,7.9,25.35,61,30.87,80.81,236.1,106.5,0.07
08/10/2023,2.06,0.77,7.97,10.86,25,7.97,25.67,57,30.77,84.38,342.8,105.1,1.14
09/10/2023,2.05,0.76,7.9,10.83,25,7.9,25.61,60,31.41,80.54,253.3,113.3,0.58
10/10/2023,2.06,0.77,7.89,10.81,25,7.89,25.36,54,30.63,85.92,350.1,103.4,0.61
11/10/2023,2.05,0.76,7.89,10.85,25,7.89,25.32,50,29.7,91.83,211.4,91.31,0.17
12/10/2023,2.05,0.76,7.89,10.86,25,7.89,25.34,60,28.49,94.84,257.9,75.7,0.46
13/10/2023,2.05,0.76,7.88,10.8,26,7.87,25.27,51,29.3,92.08,11.59,86.19,0.44
14/10/2023,2.05,0.76,7.87,10.8,25,7.87,25.24,48,29.3,92.6,270.1,86.15,0.26
15/10/2023,2.05,0.76,7.86,10.94,26,7.86,25.2,49,28.02,96.83,261.1,69.65,0.6
16/10/2023,2.05,0.76,7.88,10.88,25,7.88,25.27,46,30.49,85.66,31.55,101.5,0.67
17/10/2023,2.04,0.75,7.84,10.8,25,7.84,25.11,46,30.38,84.44,259.7,100.1,0.17
18/10/2023,2.05,0.76,7.9,10.79,26,7.9,25.38,52,29.32,94.32,318.6,86.49,0.31
19/10/2023,2.05,0.76,7.91,10.85,25,7.9,25.42,71,29.49,91.59,274.4,88.57,0.22
20/10/2023,2.05,0.77,7.93,10.86,25,7.93,25.48,64,29.13,91.67,339.9,83.94,0.12
21/10/2023,2.05,0.76,7.92,10.83,25,7.92,25.28,75,30.09,87.49,29.66,96.29,0.38
22/10/2023,2.05,0.76,7.88,10.92,25,7.88,25.15,81,29.3,91.65,3.48,86.24,0.33
23/10/2023,2.05,0.76,7.89,10.82,25,7.89,25.36,62,28.45,94.77,311,75.23,0.11
24/10/2023,2.05,0.76,7.88,10.92,26,7.88,25.26,59,29.47,89.59,30.73,88.37,0.19
25/10/2023,2.05,0.76,7.87,10.84,25,7.87,25.23,68,29.98,87.38,0.31,94.94,0.22
26/10/2023,2.04,0.75,7.83,10.87,25,7.81,25.04,52,29.91,88.15,4.63,93.06,0.41
27/10/2023,2.05,0.76,7.86,10.93,25,7.86,25.17,78,31.42,83.23,174.8,112.9,0.15
28/10/2023,2.05,0.76,7.9,10.82,25,7.9,25.35,82,29.97,90.95,27.03,94.77,0.32
29/10/2023,2.05,0.76,7.92,10.91,25,7.92,25.46,81,29.55,93.97,19.57,89.44,0.22
30/10/2023,2.05,0.75,7.81,10.86,25,7.81,25.25,68,30.68,90.15,16.52,90.28,0.15
31/10/2023,2.05,0.75,7.86,10.83,25,7.86,25.35,66,30.28,91.98,18.25,91.25,0.23
01/11/2023,3.09,0.76,7.91,10.93,25,7.91,25.42,48,30.72,88.48,230.1,104,0.56
02/11/2023,0.53,0.76,7.87,10.89,25,7.88,25.24,49,30.54,87.8,235.9,102.1,0.14
03/11/2023,1.03,0.76,7.9,10.93,25,7.9,25.36,42,28.91,95.01,250.3,81.18,0.23
04/11/2023,4.8,0.77,7.94,10.84,25,7.94,25.55,40,31.01,83.33,219.1,108.2,0.37
05/11/2023,2.27,0.75,7.84,10.89,26,7.84,25.12,41,29.19,90.13,247.6,84.7,0.25
01/01/2024,7.33,0.53,3.02,7.12,10.32,3.02,28.55,71,0.3,14.82,84.89,91.18,29.69
01/02/2024,7.05,0.41,3,7.15,10.37,3,28.28,70,0.48,32.51,84.1,97.68,30.19
01/03/2024,8.52,0.54,3,7.11,10.42,3,28.35,72,0.3,30.13,81.98,101.35,30.48
01/04/2024,6.77,0.45,2.99,7.16,10.33,2.99,28.23,74,0.3,31.6,80.5,109.78,31.13
01/05/2024,8.87,0.54,3.02,7.19,10.48,3.02,28.82,76,0.29,222.75,83.44,94.73,29.96
01/06/2024,7.02,0.59,3.08,7.19,10.45,3.08,30.22,83,0.27,14.58,83.12,97.65,30.19
01/07/2024,7.55,0.49,3.06,7.21,10.29,3.06,29.94,83,0.31,11.77,89.4,93.5,29.87
01/08/2024,8.89,0.56,3.04,7.14,10.44,3.04,29.77,80,0.27,14.9,92.04,88.57,29.49
01/09/2024,6.45,0.57,3.03,7.14,10.43,3.03,29.6,76,0.42,335.03,91.84,78.83,28.73
01/10/2024,7.91,0.61,3.02,7.11,10.35,3.02,29.52,76,0.19,30.26,80.64,94.51,29.95
01/11/2024,7.2,0.52,3.08,7.12,10.24,3.08,30.14,77,0.3,7.63,78.26,96,30.06
01/12/2024,7.27,0.61,3.07,7.11,10.31,3.07,30.04,77,0.45,35.84,69.09,95.28,30.01
1/13/2024,7.2,0.51,3.03,7.18,10.54,3.03,29.68,76,0.36,21.13,70.64,95.87,30.05
1/14/2024,6.27,0.5,3.07,7.14,10.39,3.07,30.1,77,0.38,41.99,82.23,89.37,29.55
1/15/2024,7.02,0.48,3.05,7.16,10.35,3.05,29.84,77,0.29,347.81,73.39,88.59,29.49
1/16/2024,7.65,0.5,3.08,7.14,10.38,3.08,30.12,77,0.54,31.1,73.06,80.14,28.83
1/17/2024,7.29,0.46,3.03,7.17,10.38,3.03,29.66,76,0.71,31.69,70.25,81.48,28.94
1/18/2024,7.73,0.55,3.04,7.17,10.52,3.04,29.42,76,0.52,33.61,69.07,81.26,28.92
1/19/2024,6.56,0.55,3.07,7.15,10.31,3.07,30.07,77,0.25,6.62,77.5,89.75,29.58
1/20/2024,6.8,0.5,3.03,7.04,10.38,3.03,29.65,76,0.26,38.66,81.55,97.1,30.15
1/21/2024,6.64,0.44,3.07,7.17,10.56,3.07,29.72,77,0.21,49.04,79.15,108.2,31.01
1/22/2024,5.99,0.43,3.08,7.09,10.33,3.08,30.09,77,0.31,14.8,79.29,112.33,31.33
1/23/2024,6.47,0.5,3.1,7.06,10.34,3.09,29.38,77,0.31,39.17,83.5,106.89,30.91
1/24/2024,6.13,0.44,3.21,7.18,10.43,3.21,29.03,80,0.36,29.69,80.87,101.42,30.48
1/25/2024,6.78,0.41,3.17,7.05,10.52,3.17,28.66,79,0.2,34.43,82.55,97.48,30.18
1/26/2024,6.43,0.46,3.2,7.03,10.5,3.2,28.99,81,0.38,38.15,72.5,102.62,30.58
1/27/2024,5.91,0.39,3.21,7.08,10.4,3.21,29.02,81,0.44,32.66,68.6,92.17,29.77
1/28/2024,6.46,0.41,3.2,7.14,10.39,3.2,28.91,81,0.4,18.28,72.07,91.78,29.73
1/29/2024,5.75,0.46,3.17,7.24,10.32,3.17,28.71,79,0.42,33.81,74.3,95.71,30.04
1/30/2024,5.5,0.46,3.18,7.08,10.43,3.18,28.77,80,0.36,28,79.09,101.83,30.52
1/31/2024,6.11,0.55,3.2,7.13,10.57,3.2,28.98,79,0.03,256.29,83.68,107.32,30.94
02/01/2024,5.38,0.44,3.22,7.14,10.39,3.22,29.15,80,0.28,243.05,77.85,112.49,31.34
02/02/2024,5.89,0.42,3.18,7.12,10.32,3.18,28.78,79,0.33,37.87,82.1,105.85,30.83
02/03/2024,6.01,0.49,3.16,7.18,10.47,3.16,28.6,78,0.07,219.58,80.49,114.07,31.47
02/04/2024,5.65,0.43,3.21,7.16,10.4,3.21,29.05,79,0.08,33.99,73.55,108.76,31.05
02/05/2024,5.68,0.49,3.16,7.17,10.49,3.16,28.64,80,0.47,37.68,80.68,95.93,30.06
02/06/2024,5.37,0.49,3.16,7.18,10.36,3.16,28.62,82,0.03,235.85,75.09,100.23,30.39
02/07/2024,6.37,0.57,3.2,7.16,10.41,3.2,28.98,83,0.22,23.59,72.15,98.4,30.25
02/08/2024,6.59,0.57,3.22,7.15,10.37,3.22,29.1,83,0.29,39.14,76.46,95.44,30.02
02/09/2024,5.63,0.46,3.22,7.05,10.51,3.22,29.15,84,0.41,10.19,70.41,98.28,30.24
02/10/2024,6.84,0.49,3.17,7.14,10.28,3.17,28.71,82,0.21,312.24,66.56,107.93,30.99
02/11/2024,6.42,0.47,3.22,7.06,10.36,3.22,29.13,84,0.05,220.83,66.62,106.39,30.87
02/12/2024,6.95,0.48,3.19,7.12,10.35,3.19,28.87,83,0.09,52.15,74.6,101.63,30.5
2/13/2024,7.12,0.47,3.16,7.16,10.48,3.16,28.62,82,0.12,331.24,72.41,111.55,31.27
2/14/2024,5.1,0.52,3.16,7.1,10.41,3.16,28.57,82,0.08,217.55,75.48,113.29,31.4
2/15/2024,7.23,0.48,3.17,7.07,10.46,3.17,28.65,83,0.04,322.15,66.45,113.19,31.4
2/16/2024,7.3,0.45,3.19,7.12,10.46,3.19,28.83,84,0.21,55.58,74.34,114.53,31.5
2/17/2024,6.65,0.42,3.14,7.17,10.45,3.14,28.43,83,0.21,69.47,78.95,115.49,31.58
2/18/2024,7.87,0.45,3.2,7.15,10.21,3.2,28.98,84,0.05,341.97,79.46,114.85,31.53
2/19/2024,6.73,0.42,3.18,7.06,10.41,3.18,28.76,84,0.33,40.61,77.51,111.77,31.29
2/20/2024,8.44,0.48,3.18,7.15,10.29,3.18,28.77,84,0.24,26.76,77.52,109.28,31.09
2/21/2024,6.24,0.44,3.19,7.18,10.41,3.19,28.86,84,0.24,245.05,76.39,120.48,31.96
2/22/2024,7.42,0.47,3.18,7.1,10.48,3.18,28.73,83,0.78,229.72,78.3,122.45,32.12
2/23/2024,7.41,0.51,3.21,7.12,10.48,3.21,29,84,0.71,231.73,75.84,117.74,31.75
2/24/2024,6.2,0.42,3.2,7.02,10.42,3.2,28.97,84,1.02,232.71,74.21,122.45,32.12
2/25/2024,7.39,0.43,3.17,7.11,10.4,3.17,28.66,83,0.15,212.51,75.09,118.76,31.83
2/26/2024,5.84,0.56,3.14,7.15,10.43,3.14,28.45,83,0.3,249.23,65.91,127.13,32.48
2/27/2024,7.22,0.43,3.2,7.14,10.36,3.2,28.94,84,0.04,115.72,64.83,130.15,32.71
2/28/2024,6.44,0.5,3.15,7.12,10.44,3.15,28.52,83,0.38,241.52,61.48,127.08,32.47
2/29/2024,7.04,0.48,3.17,7.03,10.57,3.17,28.67,83,0.46,241.66,63.42,127.33,32.49
03/01/2024,6.54,0.57,3.2,7.18,10.31,3.2,28.91,84,0.1,289.37,58.61,112.82,31.37
03/02/2024,7.85,0.44,3.18,7.12,10.55,3.18,28.78,84,0.26,54.01,66.91,119.62,31.9
03/03/2024,6.77,0.46,3.22,7.13,10.29,3.22,29.13,85,0.07,267.9,62.75,120,31.93
03/04/2024,5.44,0.45,3.15,7.15,10.38,3.15,28.47,83,0.04,247.35,74.04,119.47,31.88
03/05/2024,7.96,0.47,3.2,7.07,10.28,3.2,29.1,84,0.31,248.54,76.5,124.09,32.24
03/06/2024,6.44,0.49,3.26,7.11,10.36,3.26,29.84,87,1.1,230.66,76.14,122.74,32.14
03/07/2024,4.6,0.5,3.28,7.2,10.35,3.28,30.04,87,0.35,239.17,77.51,121.72,32.06
03/08/2024,4.17,0.43,3.21,7.24,10.45,3.21,29.43,85,0.26,233.05,78.52,122.08,32.09
03/09/2024,6.29,0.42,3.27,7.11,10.36,3.27,29.95,87,0.13,238.4,78.24,123.63,32.21
03/10/2024,5.99,0.42,3.23,7.14,10.46,3.23,29.57,86,0.4,39.06,74.99,126.6,32.44
03/11/2024,5.29,0.45,3.29,7.17,10.42,3.29,30.13,87,0.15,335.1,74.23,124.06,32.24
03/12/2024,6.15,0.44,3.23,7.08,10.46,3.23,29.54,86,0.21,32.37,67.16,126.62,32.44
3/13/2024,6.34,0.49,3.24,7.06,10.36,3.24,29.65,86,0.16,220.37,72.32,126.26,32.41
3/14/2024,5.94,0.48,3.27,7.18,10.43,3.27,29.93,87,0.88,228.28,75.86,130.65,32.75
3/15/2024,5.16,0.49,3.31,7.18,10.45,3.31,30.3,93,1.18,225.98,75.19,130.16,32.71
3/16/2024,5.41,0.49,3.28,7.06,10.5,3.28,30,99,0.7,226.28,75.39,131.86,32.85
3/17/2024,5.42,0.41,3.26,7.14,10.41,3.26,29.82,99,0.39,38.32,73.62,130.25,32.72
3/18/2024,5.24,0.46,3.21,7.09,10.43,3.21,29.43,98,0.13,31.89,73.07,129.08,32.63
3/19/2024,5.14,0.46,3.22,7.14,10.47,3.22,29.5,98,0.35,37.62,66.96,128.04,32.55
3/20/2024,7.03,0.41,3.2,7.18,10.46,3.2,29.35,98,0.36,39.2,67.37,121.25,32.02
3/21/2024,6.06,0.5,3.23,7.07,10.42,3.23,29.57,98,0.14,296.89,69.41,132.45,32.89
3/22/2024,5.95,0.46,3.25,7.12,10.41,3.25,29.73,99,0.28,227.6,72.79,128.1,32.55
3/23/2024,6.17,0.44,3.24,7.09,10.39,3.24,29.7,98,0.21,53.52,79.71,119.43,31.88
3/24/2024,6.86,0.43,3.24,7.18,10.54,3.24,29.7,98,0.23,0.59,76.84,122.17,32.09
3/25/2024,5.15,0.5,3.27,7.08,10.57,3.27,29.96,99,0.16,42.66,73.7,123.17,32.17
3/26/2024,4.59,0.39,3.23,7.12,10.42,3.23,29.61,98,0.1,343.59,73.42,124.95,32.31
3/27/2024,5.38,0.48,3.24,7.11,10.25,3.24,29.64,98,0.13,21.38,72.98,131.67,32.83
3/28/2024,7.87,0.45,3.26,7.19,10.34,3.26,29.84,99,0.05,119.58,74.48,133.86,33
3/29/2024,6.51,0.43,3.25,7.1,10.28,3.25,29.72,99,0.2,38.14,83.61,112.52,31.35
3/30/2024,5.52,0.43,3.27,6.96,10.38,3.27,29.92,99,0.21,347.52,73.55,135.1,33.1
3/31/2024,3.98,0.47,3.29,7.16,10.31,3.29,30.06,99,0.05,88.6,74.38,132.4,32.89
04/01/2024,6.39,0.44,3.23,7.11,10.44,3.23,29.6,98,0.39,224.29,76.97,131.46,32.82
04/02/2024,5.9,0.52,3.23,7.21,10.22,3.23,29.61,98,0.39,225.74,82.87,126.84,32.46
04/03/2024,4.87,0.48,3.22,7.2,10.42,3.22,29.53,98,0.14,233.47,88.28,119.99,31.93
04/04/2024,5.34,0.47,3.23,7.2,10.32,3.23,29.59,98,0.3,268.04,87.77,117.62,31.74
04/05/2024,7.11,0.55,3.25,7.13,10.42,3.25,29.77,99,0.89,229.66,81.87,128.66,32.6
04/06/2024,4.68,0.41,3.28,7.09,10.37,3.28,30.05,98,0.48,232.93,78.25,136.72,33.22
04/07/2024,5.46,0.46,3.21,7.13,10.37,3.21,29.44,98,0.58,227.88,78.85,136.59,33.21
04/08/2024,4.98,0.43,3.26,7.22,10.39,3.26,29.87,99,0.35,228.57,78.42,140.29,33.5
04/09/2024,7.78,0.46,3.25,7.16,10.5,3.25,29.72,95,0.14,26.19,77.49,140.55,33.52
04/10/2024,6.28,0.46,3.24,7.19,10.39,3.24,29.68,86,0.28,269.4,71.72,140.66,33.53
04/11/2024,5.6,0.45,3.27,7.1,10.36,3.27,29.88,86,0.12,210.81,74.85,135.8,33.15
04/12/2024,5.63,0.49,3.18,7.1,10.41,3.18,29.17,84,0.34,3.77,94.13,99.43,30.33
4/13/2024,6.02,0.49,3.23,7.17,10.41,3.23,29.6,86,0.36,22.47,86.79,118.02,31.77
4/14/2024,4.89,0.42,3.25,7.11,10.5,3.25,29.79,86,0.19,38.21,79.1,129.78,32.68
4/15/2024,4.53,0.5,3.24,7.1,10.48,3.24,29.65,86,0.34,356.47,72.65,137.39,33.27
4/16/2024,5.36,0.48,3.24,7.08,10.38,3.24,29.66,86,0.29,21.22,81.08,124.98,32.31
4/17/2024,6.44,0.44,3.27,7.14,10.47,3.27,29.97,87,0.25,22.01,81.16,132.07,32.86
4/18/2024,5.97,0.47,3.25,7.12,10.39,3.25,29.71,86,0.21,241.25,82.56,133.27,32.96
4/19/2024,4.67,0.42,3.21,7.08,10.37,3.21,29.37,85,0.51,233,80.52,132.41,32.89
4/20/2024,5.28,0.49,3.23,7.14,10.44,3.23,29.57,86,0.83,226.66,76.82,141.11,33.56
4/21/2024,6.1,0.41,3.2,7.16,10.38,3.2,29.33,85,0.59,250.01,77.39,131.09,32.79
4/22/2024,6.65,0.47,3.25,7.12,10.41,3.25,29.73,86,0.76,244.18,73.96,136.66,33.22
4/23/2024,5.52,0.46,3.25,7.12,10.32,3.25,29.72,86,0.35,223.21,79.7,124.21,32.25
4/24/2024,5.19,0.42,3.25,7.12,10.31,3.25,29.74,87,0.46,47.02,84.31,118.4,31.8
4/25/2024,5.47,0.45,3.29,7.1,10.55,3.29,30.08,87,0.55,52.41,81.45,132.76,32.92
4/26/2024,6.42,0.44,3.25,7.07,10.41,3.25,29.8,86,0.55,51.08,78.74,140.12,33.49
4/27/2024,3.89,0.48,3.26,7.11,10.24,3.26,29.85,86,0.15,14.18,81.77,139.09,33.41
4/28/2024,4.42,0.44,3.24,7.06,10.39,3.24,29.63,85,0.29,31.95,79.38,143.01,33.71
4/29/2024,4.84,0.44,3.25,7.1,10.45,3.25,29.75,85,0.39,19.08,79,142,33.63
4/30/2024,6.53,0.52,3.2,7.14,10.21,3.2,29.34,85,0.25,311.13,86.63,124.06,32.24
05/01/2024,4.78,0.48,3.27,7.13,10.43,3.27,29.88,86,0.87,186.51,84.65,127.81,32.53
05/02/2024,4.21,0.42,3.2,7.12,10.31,3.2,29.34,85,0.89,198.85,79.55,148.53,34.14
05/03/2024,4.96,0.49,3.22,7,10.25,3.22,29.5,85,0.89,174.94,76.22,148.94,34.17
05/04/2024,6.43,0.46,3.24,7.09,10.41,3.24,29.7,86,0.94,190.47,77.16,148.02,34.1
05/05/2024,4.65,0.43,3.24,7.16,10.37,3.24,29.63,86,0.94,229.6,76.38,147.02,34.02
05/06/2024,4.87,0.46,3.23,7.06,10.41,3.23,29.57,86,0.94,238.94,71.14,147.16,34.04
05/07/2024,5.52,0.35,3.21,7.23,10.33,3.21,29.43,87,0.89,243.41,68.45,144.84,33.86
05/08/2024,5.05,0.33,3.23,7.17,10.38,3.23,29.58,88,0.84,223.66,71.86,142.25,33.65
05/09/2024,5.09,0.33,3.25,7.07,10.44,3.25,29.72,88,0.82,184.22,72.74,141.4,33.59
05/10/2024,5.13,0.33,3.27,7.14,10.42,3.27,29.92,89,0.8,193.58,76.31,126.4,32.42
05/11/2024,5.08,0.33,3.24,7.2,10.38,3.24,29.69,88,0.77,172.47,80.83,120.42,31.96
05/12/2024,5.05,0.33,3.23,7.1,10.35,3.23,29.57,88,0.87,257.37,85.82,112.41,31.34
5/13/2024,4.96,0.32,3.19,7.08,10.39,3.19,29.23,87,0.9,181.05,86.56,100.99,30.45
5/14/2024,5.12,0.33,3.26,7.16,10.41,3.26,29.87,89,0.86,180.84,86.5,109.18,31.09
5/15/2024,5.1,0.33,3.26,7.2,10.45,3.25,29.79,89,0.91,198.2,89.11,105.92,30.83
5/16/2024,5.08,0.33,3.24,7.2,10.44,3.24,29.69,88,0.92,188.26,95.05,93.17,29.84
5/17/2024,5.42,0.32,3.2,7.12,10.42,3.2,29.29,87,0.92,117.27,96.07,91.14,29.69
5/18/2024,7.42,0.33,3.26,7.2,10.41,3.26,29.83,89,0.9,146.54,94.54,98.3,30.24
5/19/2024,5.11,0.33,3.27,7.17,10.4,3.27,29.92,89,0.97,208.22,92.51,93.54,29.87
5/20/2024,6.24,0.33,3.26,7.13,10.36,3.26,29.81,89,0.99,190.48,98.17,78.02,28.67
5/21/2024,6.66,0.43,2.99,6.5,9.58,2.99,29.81,83,0.91,181.14,96.63,87.31,29.39
5/22/2024,5.44,0.48,2.45,5.2,7.48,2.45,30.15,71,0.86,264.86,102.03,82.2,28.99
5/23/2024,5.85,0.5,2.38,5.23,7.37,2.38,29.51,70,0.88,250.91,102.01,82.56,29.02
5/24/2024,4.73,0.45,2.39,5.16,7.33,2.39,29.66,70,0.88,208.56,99.34,87.07,29.37
5/25/2024,6.66,0.49,2.39,5.23,7.38,2.39,29.65,70,1.01,231.96,93.69,86.73,29.34
5/26/2024,4.55,0.45,2.39,5.16,7.33,2.39,29.62,70,1.02,244.22,99.28,75.76,28.49
5/27/2024,4.83,0.48,2.4,5.23,7.47,2.4,29.7,70,1.09,224.94,92.78,90.07,29.6
5/28/2024,6.45,0.48,2.41,5.2,7.44,2.41,29.77,70,1.01,221.96,96.93,81.7,28.95
5/29/2024,4.44,0.5,2.42,5.21,7.42,2.42,29.93,71,0.95,220.59,103.1,72.88,28.27
5/30/2024,4.47,0.43,2.38,5.25,7.45,2.38,25.6,66,1.1,219.66,95.62,86.16,29.29
5/31/2024,5.03,0.42,1.87,5.39,8,1.87,22.1,56,1.02,220.68,88.74,109.41,31.1
06/01/2024,4.35,0.51,1.71,5.34,7.8,1.71,36.28,61,1.05,226.06,88.3,109.49,31.11
06/02/2024,3.4,0.46,2.12,5.12,7.28,2.12,36.25,61,0.9,216.06,89.15,105.25,30.78
06/03/2024,3.93,0.63,2.11,5.2,7.35,2.11,36.23,61,0.83,210.98,90.98,101.95,30.53
06/04/2024,3.91,0.58,1.8,5.3,7,1.8,36.28,60,0.74,166.42,89.28,109.75,31.13
06/05/2024,4.42,0.52,1.83,5.25,7.12,1.83,36.25,60,0.75,128.45,93.25,105.51,30.8
06/06/2024,4.48,0.49,1.7,5.23,6.8,1.7,36.21,60,0.68,153.48,95.64,99.53,30.34
06/07/2024,4.62,0.53,1.27,5.19,6.45,1.27,36.17,58,0.7,145.59,98.53,93.92,29.9
06/08/2024,3.87,0.61,1.25,5.24,6.36,1.25,36.07,57,0.78,191.48,102.92,81.28,28.92
06/09/2024,3.24,0.55,1.26,5.24,6.41,1.26,36.15,57,0.77,212.31,94.67,91.31,29.7
06/10/2024,3.28,0.6,1.79,5.17,6.87,1.79,36.23,58,0.81,196.07,93.51,103.15,30.62
06/11/2024,2.9,0.64,2.25,5.33,7.61,2.25,36.25,60,0.86,213.89,89.81,104.67,30.74
06/12/2024,3.42,0.69,2.27,5.23,7.38,2.27,36.24,61,0.85,210.15,91.11,104.74,30.74
6/13/2024,4.01,0.67,1.7,5.09,6.75,1.7,36.27,59,0.92,188.33,91.15,107.49,30.96
6/14/2024,4.53,0.63,1.3,5.12,6.31,1.3,36.3,59,1.05,222.25,86.67,111.75,31.29
6/15/2024,3.42,0.58,1.44,5.09,6.43,1.44,36.28,61,0.9,179.24,87.35,110.08,31.16
6/16/2024,3.42,0.55,1.55,4.99,6.56,1.55,36.27,62,0.94,167.65,86.54,108.49,31.03
6/17/2024,3.87,0.5,1.55,5.03,6.55,1.55,36.31,62,0.66,139.41,87.37,113.11,31.39
6/18/2024,4.36,0.57,1.37,5.01,6.42,1.37,36.15,60,0.81,142.23,97.72,92.14,29.76
6/19/2024,4.48,0.55,1.22,4.96,6.08,1.22,36.03,58,0.85,142.55,103.12,76.07,28.52
6/20/2024,3.28,0.65,1.18,5.14,6.19,1.18,36.03,56,0.86,160.8,99.55,75.56,28.48
6/21/2024,3.63,0.6,1.24,5.21,6.42,1.24,36.1,56,0.96,196.44,93.57,84.75,29.19
6/22/2024,2.51,0.56,1.44,5.22,6.59,1.44,36.07,55,0.94,163.25,96.29,81.12,28.91
6/23/2024,3.5,0.49,1.6,5.06,6.68,1.6,36.14,56,1.04,229.14,91.44,90.49,29.64
6/24/2024,5.64,0.61,1.34,5.11,6.38,1.34,36.06,56,0.98,221.54,96.62,79.57,28.79
6/25/2024,3.64,0.65,1.23,5.12,6.28,1.23,35.99,57,0.96,192.84,100.68,70.69,28.1
6/26/2024,2.91,0.59,1.36,5.3,6.72,1.36,35.94,55,0.98,217.06,102.22,63.46,27.54
6/27/2024,2.49,0.63,1.33,5.23,6.52,1.33,36,55,0.92,206.69,100.14,71.43,28.16
6/28/2024,4.06,0.61,1.51,5.2,6.65,1.51,36.16,57,0.86,185.17,94.67,93,29.83
6/29/2024,4.43,0.6,1.98,5.76,7.62,1.98,36.18,53,0.91,195.42,93.32,95.77,30.04
6/30/2024,3.83,0.57,2.22,6.15,8.18,2.22,36.26,50,1.04,217.06,86.67,107.01,30.92
07/01/2024,3.08,0.56,1.77,5.57,7.28,1.77,36.07,49,1.16,230.19,94.92,81.19,28.91
07/02/2024,3.33,0.6,1.95,5.2,7.06,1.95,36.22,51,1.2,230.79,85.06,100.65,30.42
07/03/2024,3.84,0.58,1.69,5.16,6.84,1.69,36.22,53,1.09,212.19,90.58,100.81,30.44
07/04/2024,3.91,0.58,1.34,5.42,6.64,1.34,36.27,56,1.12,230.24,85.28,108.4,31.03
07/05/2024,4.35,0.55,1.41,5.31,6.63,1.41,36.16,54,1.05,235.34,91.33,93.5,29.87
07/06/2024,3.48,0.72,1.43,5.09,6.6,1.43,36.11,52,0.93,229.47,87.84,86.2,29.3
07/07/2024,3.32,0.51,1.46,5.13,6.56,1.46,36.23,52,1.08,213.46,84.63,102.52,30.57
07/08/2024,3.04,0.58,1.95,5.15,6.96,1.95,36.1,55,1.25,230.78,84.2,84.92,29.2
07/09/2024,3.54,0.69,1.73,5.39,7.03,1.73,36.13,53,1.04,222.27,84.63,89.8,29.58
07/10/2024,4.33,0.6,1.92,5.45,7.28,1.92,36.18,53,1.05,230.94,86.68,96.77,30.12
07/11/2024,2.78,0.59,2.3,5.39,7.65,2.3,36.22,53,1.17,227.56,86.5,101.53,30.49
07/12/2024,3.55,0.56,2.35,5.34,7.61,2.35,36.12,55,1.12,232.48,90.43,88.2,29.46
